[2025-07-12 03:04:22,204] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 03:04:22,204] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 03:04:22,205] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 03:04:22,751] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-18/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 03:04:23,271] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-18/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 03:04:23,771] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-18/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 17:48:20,936] INFO: Iniciando geração do boxplot...
[2025-07-12 17:48:20,937] INFO: Criptomoedas disponíveis: ['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'DOT', 'ETH', 'SHIB', 'SOL', 'XRP']
[2025-07-12 17:48:20,940] INFO: Total de dados coletados para o boxplot: 22777
[2025-07-12 17:48:20,951] INFO: DataFrame do boxplot criado com shape: (22777, 2)
[2025-07-12 17:48:21,614] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 17:48:22,098] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 17:48:22,534] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 17:48:22,922] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 17:48:23,391] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 17:48:23,786] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 17:48:24,317] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 17:48:24,751] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 17:48:25,180] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 17:48:25,643] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 17:48:26,050] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 17:48:26,472] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 17:48:30,608] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 18:46:34,930] INFO: Iniciando geração do boxplot...
[2025-07-12 18:46:34,931] INFO: Criptomoedas disponíveis: ['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'DOT', 'ETH', 'SHIB', 'SOL', 'XRP']
[2025-07-12 18:46:34,933] INFO: Total de dados coletados para o boxplot: 22777
[2025-07-12 18:46:34,942] INFO: DataFrame do boxplot criado com shape: (22777, 2)
[2025-07-12 18:46:35,507] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 18:46:36,055] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 18:46:36,784] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 18:46:37,168] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
